family,name_x,name_y,len_x,len_y,pid,bin,n_ref,sw_prec,sw_rec,sw_f1,sw_ms,dedal_prec,dedal_rec,dedal_f1,dedal_ms
PF00018,SPTA1_HUMAN/983-1028,RASA1_BOVIN/282-330,46,49,0.1837,1,46,0.8125,0.5652,0.6667,4.25,0.8043,0.8043,0.8043,353.73
PF00595,CTPA_PICP2/102-182,PTN3_HUMAN/510-595,81,86,0.1379,1,80,0.6957,0.2,0.3107,13.12,0.6835,0.675,0.6792,366.68
PF00010,Q90466_DANRE/19-74,HLH12_CAEEL/14-66,56,53,0.1964,1,52,0.8837,0.7308,0.8,5.76,0.451,0.4423,0.4466,353.68
PF07686,FCMR_HUMAN/19-123,SHPS1_BOVIN/38-145,105,108,0.1404,1,99,0.6129,0.1919,0.2923,21.34,0.5412,0.4646,0.5,350.44
PF01565,MURB_NEIG1/23-155,Q89HF0_BRADU/40-178,133,139,0.156,1,129,0.5,0.1163,0.1887,34.65,0.5508,0.5039,0.5263,361.9
PF00583,P73741_SYNY3/19-130,N9F5F2_ACIHA/14-131,112,118,0.1301,1,107,0.9,0.4206,0.5732,24.53,0.9074,0.4579,0.6087,337.7
PF00014,O45881_CAEEL/2116-2175,Q94164_CAEEL/22-79,60,58,0.1692,1,53,0.9091,0.7547,0.8247,6.52,0.7963,0.8113,0.8037,342.29
PF00010,SPCH_ARATH/100-151,Q9VL05_DROME/59-111,52,53,0.1887,1,52,1.0,0.3846,0.5556,5.13,0.9423,0.9423,0.9423,368.06
PF00014,YN81_CAEEL/308-364,O44621_CAEEL/18-73,57,56,0.1935,1,51,0.8,0.6275,0.7033,6.1,0.7647,0.7647,0.7647,371.35
PF01565,ALO_EREGS/29-168,P71984_MYCTU/42-177,140,136,0.1944,1,132,0.7073,0.6591,0.6824,37.59,0.8731,0.8864,0.8797,358.33
PF00595,CTPA_PICP2/102-182,DEGQ_ECOLI/257-346,81,90,0.1522,1,79,0.6818,0.1899,0.297,13.62,0.3816,0.3671,0.3742,348.23
PF00085,EPS1_YEAST/33-139,TRXB_MYCLE/350-452,107,103,0.156,1,101,0.8462,0.5446,0.6627,20.5,0.8119,0.8119,0.8119,351.08
PF00089,GRAK_RAT/26-248,CAC3_BOVIN/12-246,223,235,0.2988,2,217,0.9171,0.9171,0.9171,97.87,0.9032,0.9032,0.9032,379.18
PF00046,H0XRI2_OTOGA/100-156,AWH_DROME/149-205,57,57,0.2632,2,57,1.0,1.0,1.0,6.24,1.0,1.0,1.0,362.21
PF00076,SXL_DROME/127-197,IF4B_HUMAN/98-167,71,70,0.2083,2,69,0.6875,0.6377,0.6617,9.38,0.913,0.913,0.913,414.86
PF00046,HM06_CAEEL/282-338,O01996_CAEEL/204-260,57,57,0.2632,2,57,1.0,1.0,1.0,6.25,1.0,1.0,1.0,443.58
PF00027,Q89V11_BRADU/35-123,Q7NLM3_GLOVI/281-367,89,87,0.25,2,84,0.9259,0.8929,0.9091,15.8,0.9176,0.9286,0.9231,534.0
PF00014,Q19021_CAEEL/330-386,PPN1_CAEEL/1503-1555,57,53,0.2982,2,53,0.8039,0.7736,0.7885,5.72,0.9412,0.9057,0.9231,364.76
PF00072,A8ADZ6_CITK8/6-121,D5APH1_RHOCB/8-118,116,111,0.2308,2,110,0.7238,0.6909,0.707,24.07,0.9,0.9,0.9,375.76
PF00043,GSTS1_DROME/141-235,GSTM3_HUMAN/108-196,95,89,0.2143,2,86,0.5385,0.4884,0.5122,15.91,0.6742,0.6977,0.6857,370.82
PF00583,RIMI_HAEIN/12-119,BLTD_BACSU/13-134,108,122,0.2114,2,107,0.8667,0.3645,0.5132,24.76,0.8272,0.6262,0.7128,378.93
PF00027,Q820F7_STRAW/7-95,Q6D659_PECAS/40-129,89,90,0.2333,2,89,0.9294,0.8876,0.908,14.91,0.9326,0.9326,0.9326,392.65
PF00076,TIA1_HUMAN/216-280,NOP4_YEAST/292-362,65,71,0.2113,2,65,1.0,0.6308,0.7736,8.91,0.9815,0.8154,0.8908,349.69
PF00583,O58034_PYRHO/30-140,YIAC_ECOLI/10-120,111,111,0.2358,2,99,0.7059,0.4848,0.5749,22.85,0.7867,0.596,0.6782,345.56
PF00041,PTPRB_HUMAN/113-198,PTPRB_HUMAN/908-990,86,83,0.2527,2,76,0.619,0.5132,0.5612,13.5,0.625,0.6579,0.641,362.16
PF00027,Q7CWQ8_AGRFC/33-120,PLPL6_HUMAN/647-735,88,89,0.2174,2,85,0.9155,0.7647,0.8333,14.69,0.8851,0.9059,0.8953,362.81
PF00595,DVL1_MOUSE/251-336,ZO1_MOUSE/423-501,86,79,0.2093,2,79,0.9655,0.7089,0.8175,12.86,0.8481,0.8481,0.8481,365.32
PF07686,VSIG1_CHICK/26-136,MO2R1_MOUSE/42-147,111,106,0.2241,2,101,0.5842,0.5842,0.5842,22.09,0.6038,0.6337,0.6184,372.64
PF00010,MAX_HUMAN/24-75,B4NNG8_DROWI/32-84,52,53,0.283,2,52,0.8913,0.7885,0.8367,5.26,0.9808,0.9808,0.9808,496.66
PF00072,RRF1_NITV2/5-113,NTRC_RHOCB/5-115,109,111,0.2035,2,107,0.8936,0.785,0.8358,22.69,0.9065,0.9065,0.9065,350.38
PF00085,PDIA3_MOUSE/26-130,Q3J6B4_CERS4/2-104,105,103,0.2571,2,103,0.9494,0.7282,0.8242,20.29,1.0,1.0,1.0,345.83
PF00089,CASP_MESAU/445-682,GRAK_RAT/26-248,238,223,0.272,2,211,0.8491,0.8531,0.8511,99.89,0.8726,0.8768,0.8747,357.32
PF00018,TEC_HUMAN/185-231,MYO3_YEAST/1126-1174,47,49,0.2857,2,47,0.9348,0.9149,0.9247,4.43,0.9574,0.9574,0.9574,482.67
PF00595,DEGQ_ECOLI/257-346,PDLI1_RAT/5-82,90,78,0.2,2,78,0.9333,0.5385,0.6829,13.19,0.4605,0.4487,0.4545,498.56
PF00076,PABP_DROME/92-161,PABP_DROME/4-74,70,71,0.2676,2,70,0.9855,0.9714,0.9784,9.8,0.9857,0.9857,0.9857,374.64
